Time,ECG,PCG,ACC
0.003,-36312.6,-1.0,2628.0
0.004,-36144.1,0.0,2640.121212121212
0.005,-35837.6,-6.0,2652.0
0.006,-35573.7,-9.0,2652.0
0.007,-35338.2,-5.0,2651.6969696969695
0.008,-35377.2,-6.0,2645.6363636363635
0.009000000000000001,-35599.2,-6.999999999999989,2640.0
0.01,-35898.9,-1.0,2640.0
0.011,-36250.4,1.0,2639.2
0.012,-36425.2,2.0,2631.2
0.013000000000000001,-36482.2,8.000000000000004,2624.0
0.013999999999999999,-36425.8,9.999999999999996,2624.0
0.015,-36293.8,8.0,2624.48730964467
0.016,-36196.3,8.0,2628.548223350254
0.017,-36121.8,7.0,2632.3030303030305
0.018,-36075.5,2.0,2634.3232323232323
0.019,-36048.0,1.0,2635.6548223350255
0.02,-36034.6,0.0,2633.6243654822333
0.021,-36030.6,-8.0,2630.1052631578946
0.022,-36092.3,-13.0,2620.6315789473683
0.023,-36197.8,-13.0,2613.090909090909
0.024,-36338.7,-12.0,2610.060606060606
0.024999999999999998,-36503.2,-11.000000000000004,2609.299492385787
0.026,-36602.3,-12.0,2613.3604060913704
0.027,-36657.8,-12.0,2616.0
0.028,-36625.4,-9.0,2616.0
0.029,-36534.4,-5.0,2617.1269035532996
0.03,-36414.3,-5.0,2620.1725888324872
0.031,-36274.8,-8.0,2624.0
0.032,-36158.7,-9.0,2629.0
0.033,-36058.2,-9.0,2633.6161616161617
0.034,-35995.2,-9.0,2637.656565656566
0.035,-35957.2,-5.0,2640.4263959390864
0.036000000000000004,-35936.0,-0.9999999999999931,2641.4416243654823
0.037000000000000005,-35926.0,1.3877787807814444e-14,2644.2727272727275
0.038000000000000006,-35931.3,2.0,2649.3232323232323
0.03900000000000001,-35946.8,1.9999999999999931,2650.0913705583757
0.04,-36010.3,1.0,2646.0304568527918
0.041,-36105.8,1.0,2646.0
0.042,-36207.3,1.0,2650.0
0.043000000000000003,-36312.8,3.000000000000007,2647.4545454545455
0.044000000000000004,-36325.3,3.9999999999999862,2638.3636363636365
0.045000000000000005,-36275.8,1.9999999999999931,2630.304568527919
0.046000000000000006,-36184.0,1.0000000000000069,2623.1979695431473
0.047,-36064.0,2.0,2622.222222222222
0.048,-36036.7,1.0,2626.2626262626263
0.049,-36071.2,0.0,2637.8375634517765
0.05,-36149.2,0.0,2655.096446700508
0.051000000000000004,-36256.2,2.0,2669.2000000000003
0.052000000000000005,-36294.5,1.9999999999999791,2681.2000000000003
0.053000000000000005,-36287.0,-1.0,2681.7575757575755
0.054000000000000006,-36292.7,-0.9999999999999861,2674.686868686869
0.05500000000000001,-36307.2,1.0,2666.3350253807107
0.056,-36403.3,1.0,2657.1979695431473
0.057,-36553.8,-1.0,2650.060606060606
0.058,-36641.9,-2.0,2644.0
0.059000000000000004,-36688.4,-3.0,2648.8020304568527
0.060000000000000005,-36601.4,-3.0,2658.9543147208124
0.061000000000000006,-36425.4,-3.0,2662.0
0.062000000000000006,-36279.4,-2.999999999999993,2662.0
0.063,-36153.4,-2.0,2658.4646464646466
0.064,-36161.8,-1.0,2653.4141414141413
0.065,-36259.8,0.0,2656.3857868020305
0.066,-36409.4,0.0,2662.477157360406
0.067,-36593.4,2.0,2665.5151515151515
0.068,-36747.7,6.0,2667.5353535353534
