Time,ECG,PCG,ACC
0.0025,10608.7,6.5,1954.0
0.0035,10585.7,14.0,1954.0
0.0045000000000000005,10567.25,22.000000000000007,1954.0
0.0055,10589.75,40.99999999999999,1956.0
0.006500000000000001,10629.25,52.0,1958.0
0.0075,10821.75,58.99999999999999,1956.0
0.0085,11004.75,72.50000000000001,1954.0
0.0095,11102.25,85.5,1945.0
0.0105,11175.960591133005,88.5,1936.0
0.011500000000000002,11035.566502463054,76.49999999999997,1931.7894736842104
0.0125,10878.767326732674,65.5,1928.7070707070707
0.0135,10504.014851485148,65.0,1935.7777777777778
0.0145,10123.049261083743,64.0,1941.51269035533
0.015500000000000002,9624.03448275862,55.99999999999998,1937.451776649746
0.0165,9130.316831683169,43.0,1932.7878787878788
0.017499999999999998,8896.158415841584,31.500000000000014,1924.7070707070707
0.0185,8662.0,23.5,1917.482233502538
0.0195,8968.5,17.0,1914.4365482233502
0.0205,9275.0,8.5,1911.4
0.0215,9835.999999999998,-6.499999999999966,1908.4
0.0225,10397.0,-21.5,1906.4040404040404
0.0235,10872.0,-34.5,1908.4242424242425
0.024499999999999997,11346.999999999998,-54.499999999999915,1908.8832487309644
0.0255,11716.5,-75.49999999999997,1903.8071065989848
0.0265,12086.0,-91.0,1896.7171717171718
0.0275,12207.5,-103.5,1883.5858585858587
0.0285,12329.0,-106.0,1869.8883248730965
0.0295,12030.0,-98.00000000000001,1854.6598984771574
0.0305,11731.0,-89.0,1838.8999999999999
0.0315,11332.0,-82.5,1821.9
0.0325,10933.0,-79.5,1806.060606060606
0.0335,10742.0,-79.0,1792.9292929292928
0.0345,10551.0,-82.0,1783.0253807106599
0.035500000000000004,10316.5,-88.50000000000003,1779.979695431472
0.036500000000000005,10081.999999999998,-88.49999999999996,1778.3535353535353
0.037500000000000006,9744.499999999998,-79.99999999999993,1779.3636363636363
0.038500000000000006,9407.0,-73.49999999999999,1781.502538071066
0.0395,9423.0,-70.5,1785.5634517766498
0.0405,9439.0,-67.0,1782.4
0.0415,9786.5,-65.5,1768.3999999999999
0.0425,10134.0,-71.00000000000003,1751.5151515151515
0.043500000000000004,10246.5,-77.00000000000001,1730.3030303030303
0.044500000000000005,10358.999999999998,-71.99999999999991,1711.1776649746191
0.045500000000000006,10224.499999999998,-58.49999999999989,1694.9340101522841
0.0465,10090.0,-40.0,1689.1818181818182
0.0475,10109.5,-17.5,1696.2525252525252
0.0485,10129.0,-6.5,1697.6142131979695
0.0495,10163.5,-37.0,1692.53807106599
0.0505,10198.0,-84.50000000000011,1693.0
0.051500000000000004,9991.0,-51.999999999999304,1699.0
0.052500000000000005,9784.0,15.000000000000238,1704.5252525252527
0.053500000000000006,9659.5,5.999999999999638,1709.5757575757575
