Time,ECG,PCG,ACC
0.0029,-67546.9,106.0,-6208.0
0.0039,-67923.0,107.2,-6206.989898989899
0.0049,-68495.5,33.20000000000002,-6206.2639593908625
0.0059,-68822.0,-10.999999999999993,-6219.46192893401
0.0069,-69087.0,1.1999999999999957,-6232.10101010101
0.0079,-68639.6,6.600000000000002,-6234.121212121212
0.0089,-68014.1,9.700000000000001,-6235.786802030457
0.009899999999999999,-67401.8,12.699999999999996,-6232.741116751269
0.0109,-66792.8,11.2,-6228.6
0.0119,-66427.8,5.599999999999996,-6214.6
0.0129,-66123.8,-0.400000000000003,-6200.989898989899
0.0139,-65834.6,-3.6999999999999966,-6190.888888888889
0.0149,-65549.1,-4.9,-6181.634517766497
0.0159,-65538.8,-5.9,-6178.588832487309
0.0169,-65597.3,-7.7999999999999945,-6174.333333333333
0.0179,-66111.0,-11.600000000000001,-6163.222222222223
0.0189,-66738.5,-15.600000000000003,-6155.035532994923
0.0199,-67489.2,-18.700000000000003,-6161.1269035533
0.020900000000000002,-68270.7,-19.900000000000002,-6166.8
0.0219,-68876.6,-21.8,-6170.8
0.0229,-69438.6,-26.500000000000004,-6173.393939393939
0.0239,-69571.8,-31.500000000000004,-6170.363636363636
0.0249,-69597.8,-34.69999999999999,-6165.766497461929
0.0259,-69037.8,-40.400000000000006,-6155.61421319797
0.0269,-68331.3,-49.10000000000001,-6149.515151515152
0.0279,-67601.2,-53.6,-6155.575757575758
0.028900000000000002,-66865.2,-53.1,-6164.38578680203
0.0299,-66752.8,-51.2,-6180.629441624365
0.0309,-66796.3,-46.5,-6191.368421052632
0.0319,-67005.8,-38.800000000000026,-6189.263157894737
0.0329,-67256.8,-29.900000000000023,-6195.2
0.0339,-67026.2,-17.300000000000036,-6213.2
0.0349,-66675.2,-0.7000000000000473,-6229.6
0.0359,-66315.4,11.800000000000042,-6243.6
0.0369,-65953.4,20.20000000000003,-6253.6
0.0379,-66139.8,26.400000000000027,-6257.6
0.038900000000000004,-66463.3,30.600000000000016,-6261.6
0.0399,-66921.2,31.9,-6265.6
0.0409,-67412.7,34.69999999999999,-6267.578947368421
0.0419,-67667.4,36.8,-6266.526315789473
0.0429,-67862.9,36.099999999999994,-6266.50505050505
0.0439,-68052.0,33.29999999999999,-6267.515151515152
0.0449,-68239.5,29.399999999999984,-6268.527918781726
0.0459,-68343.0,26.299999999999986,-6269.543147208122
0.0469,-68425.5,20.600000000000016,-6264.444444444444
0.0479,-68041.2,14.600000000000016,-6254.343434343435
0.0489,-67540.2,8.600000000000016,-6252.893401015229
0.0499,-66743.6,-0.09999999999997655,-6257.969543147208
0.0509,-65873.1,-10.000000000000034,-6272.6
0.0519,-65156.6,-20.000000000000043,-6293.6
0.0529,-64478.6,-28.20000000000003,-6317.151515151515
0.0539,-64023.4,-30.800000000000008,-6342.404040404041
0.054900000000000004,-63623.9,-30.099999999999994,-6365.84771573604
0.0559,-63383.2,-31.799999999999994,-6388.1827411167515
0.0569,-63182.2,-33.8,-6405.19191919192
0.0579,-63149.6,-34.9,-6419.333333333333
0.0589,-63159.1,-35.900000000000006,-6435.563451776649
0.0599,-63210.2,-36.0,-6452.822335025381
0.0609,-63271.7,-33.29999999999999,-6467.8
0.061900000000000004,-63302.4,-34.80000000000001,-6481.8
0.0629,-63325.4,-39.499999999999986,-6490.242424242424
0.0639,-63459.2,-39.1,-6496.30303030303
0.0649,-63620.700000000004,-32.70000000000002,-6505.309644670051
0.0659,-63853.8,-23.900000000000023,-6515.46192893401
0.0669,-64104.8,-17.600000000000016,-6524.060606060606
0.0679,-64172.6,-11.600000000000016,-6532.141414141414
0.0689,-64194.6,-3.800000000000022,-6513.675126903553
0.0699,-64043.0,5.0999999999999766,-6487.279187817258
0.0709,-63848.0,15.900000000000107,-6446.799999999999
0.0719,-63775.0,30.500000000000167,-6402.799999999999
0.0729,-63732.5,48.2000000000002,-6326.929292929292
0.07390000000000001,-64016.0,72.50000000000028,-6243.090909090908
0.07490000000000001,-64381.0,100.20000000000032,-6165.563451776648
0.0759,-65018.0,127.29999999999993,-6089.421319796954
0.0769,-65723.0,158.7999999999999,-6030.777777777777
0.0779,-66420.8,188.99999999999991,-5975.222222222223
0.0789,-67116.8,209.09999999999994,-5949.4517766497465
0.0799,-67587.6,219.99999999999997,-5928.131979695431
0.0809,-68002.1,213.8,-5953.9
0.0819,-68317.40000000001,179.7000000000001,-5984.9
0.0829,-68607.90000000001,118.40000000000018,-6062.545454545455
0.0839,-68894.0,27.40000000000026,-6145.373737373738
0.0849,-69179.0,-98.09999999999964,-6260.345177664975
0.0859,-69173.2,-255.90000000000157,-6378.111675126905
0.0869,-69094.7,-414.20000000000175,-6492.434343434344
0.0879,-68692.2,-547.0000000000015,-6606.575757575757
0.0889,-68208.7,-645.500000000001,-6687.796954314721
0.08990000000000001,-67921.2,-679.3000000000003,-6768.0
0.0909,-67682.7,-642.4000000000001,-6741.0
0.0919,-67742.2,-500.3000000000004,-6714.0
0.0929,-67876.2,-218.60000000000082,-6644.303030303031
0.0939,-67742.59999999999,133.19999999999902,-6574.43654822335
0.0949,-67542.09999999999,419.19999999999925,-6496.2639593908625
0.0959,-67007.59999999999,615.2999999999995,-6421.747474747474
0.0969,-66389.59999999999,791.4999999999995,-6416.69696969697
0.0979,-66072.4,907.9999999999997,-6418.680203045686
0.0989,-65830.4,926.1999999999999,-6514.111675126904
0.0999,-66088.0,909.0,-6616.315789473685
0.1009,-66470.5,881.8000000000001,-6779.473684210527
0.1019,-66927.0,754.7999999999986,-6935.858585858587
0.1029,-67402.0,409.7999999999959,-7065.151515151515
0.1039,-67692.6,-193.10000000000696,-7172.477157360406
0.10490000000000001,-67937.1,-968.8000000000088,-7201.918781725888
0.10590000000000001,-67997.6,-1670.8000000000077,-7209.10101010101
0.10690000000000001,-68012.1,-2040.6000000000038,-7149.505050505049
0.1079,-67840.2,-1993.0000000000002,-7070.091370558374
