Time,ECG,PCG,ACC
0.002,-15704.2,-22.0,2398.0
0.003,-15644.4,-27.0,2385.878787878788
0.004,-15727.4,-16.0,2374.1421319796955
0.005,-16177.6,27.0,2381.248730964467
0.006,-16719.6,53.0,2388.10101010101
0.007,-17157.6,52.0,2390.121212121212
0.008,-17569.600000000002,52.0,2391.3604060913704
0.009000000000000001,-17904.4,40.99999999999998,2382.223350253807
0.01,-18219.9,29.0,2374.0
0.011000000000000001,-18698.2,26.999999999999996,2374.0
0.012,-19217.2,24.0,2372.787878787879
0.013,-19619.4,11.0,2360.6666666666665
0.014,-19992.4,-2.0,2350.3654822335025
0.015000000000000001,-19809.0,-0.9999999999999913,2353.4111675126906
0.016,-19486.5,4.0,2357.212121212121
0.017,-18835.2,8.0,2365.2929292929293
0.018000000000000002,-18101.7,9.000000000000004,2372.0
0.019000000000000003,-17549.399999999998,10.000000000000021,2372.0
0.020000000000000004,-17042.399999999998,16.0,2372.2
0.020999999999999998,-16749.0,16.0,2373.2
0.022,-16509.0,5.0,2374.0
0.023,-16361.8,-4.0,2374.0
0.024,-16237.8,-11.0,2369.756345177665
0.025,-16366.6,-20.0,2350.467005076142
0.026000000000000002,-16558.600000000002,-32.00000000000003,2336.0
0.027000000000000003,-17047.800000000003,-39.999999999999986,2336.0
0.028000000000000004,-17611.300000000003,-34.99999999999998,2336.2741116751267
0.028999999999999998,-18170.0,-28.000000000000025,2337.289340101523
0.03,-18727.5,-33.0,2338.0
0.031,-19029.4,-38.0,2338.0
0.032,-19267.4,-23.0,2342.4
0.033,-19295.8,-1.0,2353.4
0.034,-19271.8,4.0,2360.8
0.035,-19180.2,3.0,2362.8
0.036000000000000004,-19071.7,10.000000000000014,2364.4
0.037000000000000005,-18868.0,11.999999999999986,2365.4
0.038000000000000006,-18640.5,9.999999999999964,2368.0
0.039,-18203.4,5.0,2373.0
0.04,-17713.9,-1.0,2380.2105263157896
0.041,-17186.399999999998,-3.0,2390.7368421052633
0.042,-16649.399999999998,-2.0,2391.4545454545455
0.043000000000000003,-16440.0,-4.000000000000007,2382.3636363636365
0.044000000000000004,-16312.5,-4.9999999999999165,2376.416243654822
0.045000000000000005,-16493.8,7.000000000000104,2373.3705583756346
0.046,-16752.3,22.0,2373.1111111111113
0.047,-17024.399999999998,29.0,2375.131313131313
0.048,-17299.9,33.0,2374.8426395939086
0.049,-17610.600000000002,35.0,2372.812182741117
0.05,-17930.100000000002,40.0,2378.0
0.051000000000000004,-18370.0,46.99999999999997,2388.0
0.052000000000000005,-18840.0,42.99999999999993,2395.030303030303
0.053000000000000005,-19121.6,32.99999999999997,2400.0808080808083
0.054000000000000006,-19356.1,28.999999999999993,2398.8527918781724
0.055,-19205.8,28.0,2393.776649746193
0.056,-18959.3,21.0,2386.747474747475
0.057,-18586.8,15.0,2378.6666666666665
0.058,-18182.8,8.0,2382.8020304568527
0.059000000000000004,-17818.8,5.999999999999993,2392.9543147208124
0.060000000000000005,-17464.8,4.99999999999998,2398.1
0.061000000000000006,-17123.2,1.9999999999999791,2401.1
0.062,-16784.7,-1.0,2396.343434343434
0.063,-16623.4,-4.0,2388.2626262626263
0.064,-16506.4,-6.0,2383.07614213198
0.065,-16653.399999999998,-7.0,2379.015228426396
0.066,-16866.399999999998,-15.0,2371.181818181818
0.067,-17146.6,-25.0,2362.090909090909
0.068,-17443.600000000002,-31.0,2354.527918781726
0.069,-17799.4,-31.0,2347.4213197969543
0.07,-18169.9,-33.0,2346.8
0.07100000000000001,-18653.600000000006,-41.00000000000006,2347.8
0.07200000000000001,-19165.600000000006,-44.99999999999993,2351.2323232323233
0.07300000000000001,-19393.2,-39.999999999999986,2355.2727272727275
0.07400000000000001,-19549.7,-39.000000000000085,2364.324873096447
0.075,-19173.4,-45.0,2374.477157360406
0.076,-18663.9,-47.0,2376.0
0.077,-18138.000000000004,-42.0,2376.0
0.078,-17608.000000000004,-36.0,2376.8832487309646
0.079,-17444.0,-27.0,2377.8984771573605
0.08,-17371.5,-18.0,2373.5
0.081,-17282.600000000002,-9.0,2368.5
0.082,-17189.600000000002,-3.0,2366.181818181818
0.083,-16881.4,-2.0,2364.161616161616
0.084,-16519.399999999998,-4.0,2365.8680203045687
0.085,-16403.0,-4.0,2367.8984771573605
0.08600000000000001,-16348.0,5.0000000000001945,2371.838383838384
0.08700000000000001,-16737.400000000005,19.000000000000096,2375.878787878788
0.08800000000000001,-17237.900000000005,26.0,2372.0609137055835
0.08900000000000001,-17764.400000000005,26.000000000000096,2368.0
0.09,-18297.399999999998,33.0,2367.0
0.091,-18554.8,40.0,2366.0
0.092,-18743.3,39.0,2362.969696969697
0.093,-18732.2,43.0,2360.0812182741115
0.094,-18671.2,49.0,2364.1421319796955
0.095,-18477.0,44.0,2367.949494949495
0.096,-18249.5,35.0,2366.939393939394
0.097,-17906.000000000004,29.0,2365.502538071066
0.098,-17533.500000000004,26.0,2358.395939086294
0.099,-17192.6,25.0,2352.4
0.1,-16859.6,24.0,2356.4
0.101,-16691.0,15.0,2360.4040404040406
0.10200000000000001,-16563.5,1.9999999999998752,2364.4444444444443
0.10300000000000001,-16557.2,-7.0000000000000275,2369.8274111675128
0.10400000000000001,-16581.2,-9.000000000000055,2385.055837563452
0.10500000000000001,-16674.4,-13.000000000000124,2396.030303030303
0.10600000000000001,-16784.9,-22.00000000000011,2382.89898989899
0.107,-17025.399999999998,-30.0,2373.3807106598983
0.108,-17298.399999999998,-35.0,2381.502538071066
0.109,-17680.6,-39.0,2389.684210526316
0.11,-18090.1,-35.0,2398.1052631578946
0.111,-18377.6,-32.0,2404.0
0.112,-18634.6,-36.0,2404.0
0.113,-18609.6,-36.0,2402.0507614213197
0.114,-18514.1,-27.0,2395.959390862944
0.115,-18287.8,-16.0,2397.3030303030305
0.116,-18028.8,-13.0,2412.4545454545455
0.117,-17841.0,-13.0,2421.248730964467
0.11800000000000001,-17671.0,-9.999999999999986,2419.2182741116753
0.11900000000000001,-17538.6,-9.0,2411.2
0.12000000000000001,-17415.6,-8.99999999999989,2394.2
0.12100000000000001,-17269.399999999998,-0.9999999999998196,2381.5757575757575
0.122,-17117.4,12.0,2375.5151515151515
0.123,-17059.8,16.0,2369.8680203045683
0.124,-17025.8,16.0,2364.791878172589
0.125,-17149.8,15.0,2362.909090909091
0.126,-17313.3,14.0,2364.929292929293
0.127,-17511.600000000002,19.0,2363.1370558375634
0.128,-17718.600000000006,21.0,2357.0456852791876
0.129,-17896.800000000003,15.0,2356.0
0.13,-18067.800000000003,12.0,2360.0
0.131,-18258.800000000003,18.0,2367.0505050505053
0.132,-18454.800000000003,23.0,2377.1515151515155
0.133,-18596.800000000003,24.0,2387.8071065989852
0.134,-18725.300000000003,22.0,2398.9746192893404
0.135,-18656.6,20.0,2400.111111111111
0.136,-18538.6,19.0,2393.0404040404037
0.137,-18288.599999999995,14.0,2388.8426395939086
0.138,-18005.599999999995,10.0,2386.812182741117
0.139,-17789.399999999994,9.0,2390.8
0.14,-17589.899999999994,-2.0,2398.8
0.14100000000000001,-17506.0,-15.000000000000139,2406.2424242424245
0.14200000000000002,-17451.0,-20.00000000000011,2413.313131313131
0.14300000000000002,-17428.0,-24.00000000000025,2414.741116751269
0.14400000000000002,-17413.0,-33.00000000000022,2412.710659898477
0.14500000000000002,-17418.4,-41.00000000000003,2419.878787878788
0.14600000000000002,-17428.9,-41.99999999999986,2432.0
0.147,-17525.0,-37.0,2438.720812182741
0.148,-17642.5,-28.0,2442.7817258883247
0.149,-17860.8,-21.0,2439.8
0.15,-18104.3,-20.0,2433.8
0.151,-18352.6,-22.0,2428.4646464646466
0.152,-18602.1,-26.0,2423.4141414141413
0.153,-18710.8,-31.0,2416.1522842639592
0.154,-18784.300000000003,-33.0,2408.0304568527918
0.155,-18662.199999999997,-36.0,2407.5151515151515
0.156,-18491.199999999997,-38.0,2409.5353535353534
0.157,-18236.599999999995,-31.0,2414.6903553299494
0.158,-17961.099999999995,-19.0,2420.781725888325
0.159,-17744.399999999994,-14.0,2410.7999999999997
0.16,-17542.399999999994,-14.0,2396.7999999999997
0.161,-17429.999999999996,-8.0,2385.111111111111
0.162,-17339.999999999996,1.0,2374.0
0.163,-17316.4,8.0,2371.167512690355
0.164,-17309.4,14.0,2370.1522842639592
0.165,-17381.600000000002,20.0,2370.0
0.166,-17473.600000000002,27.0,2370.0
0.167,-17653.200000000004,28.0,2365.583756345178
0.168,-17854.700000000004,25.0,2360.507614213198
0.169,-18081.000000000004,31.0,2363.7894736842104
0.17,-18313.500000000004,36.0,2368.0
0.171,-18459.600000000002,38.0,2370.0
0.17200000000000001,-18584.100000000002,42.99999999999994,2372.0000000000005
0.17300000000000001,-18566.6,40.999999999999886,2393.0000000000005
0.17400000000000002,-18513.6,37.00000000000006,2414.0000000000005
0.17500000000000002,-18368.999999999996,38.99999999999994,2425.0000000000005
0.17600000000000002,-18201.499999999996,36.999999999999694,2436.0
0.17700000000000002,-17992.799999999996,25.9999999999995,2435.0
0.178,-17773.800000000003,8.0,2434.0
0.179,-17522.4,-3.0,2435.0526315789475
0.18,-17262.9,-2.0,2436.0
0.181,-17079.4,1.0,2436.0
0.182,-16914.9,-4.0,2437.9492385786803
0.183,-16961.2,-10.0,2454.192893401015
0.184,-17060.2,-9.0,2467.6969696969695
0.185,-17210.000000000004,-4.0,2465.6767676767677
0.186,-17372.500000000004,-3.0,2463.309644670051
0.187,-17268.199999999997,-10.0,2459.248730964467
0.188,-17097.199999999997,-12.0,2455.8
0.189,-16725.799999999992,-11.0,2454.8
0.19,-16304.29999999999,-20.0,2451.1717171717173
0.191,-16042.799999999996,-22.0,2437.030303030303
0.192,-15821.299999999996,-12.0,2424.8832487309646
0.193,-15781.4,-14.0,2419.807106598985
0.194,-15786.9,-21.0,2412.212121212121
0.195,-15631.599999999995,-24.0,2397.060606060606
0.196,-15436.099999999995,-34.0,2384.6294416243654
0.197,-14955.399999999987,-45.0,2379.5532994923856
0.198,-14403.399999999987,-50.0,2376.3
0.199,-13842.999999999987,-61.0,2377.3
0.2,-13280.499999999987,-70.0,2371.9393939393935
0.201,-13017.999999999996,-69.0,2351.737373737373
0.202,-12830.499999999996,-61.0,2335.725888324873
0.203,-12984.600000000006,-51.0,2328.619289340101
0.20400000000000001,-13224.100000000006,-37.999999999999275,2323.2929292929293
0.20500000000000002,-13598.00000000001,-11.999999999999057,2321.272727272727
0.20600000000000002,-14005.50000000001,22.000000000000806,2319.6243654822333
0.20700000000000002,-14319.000000000007,51.00000000000086,2318.6091370558374
0.20800000000000002,-14609.000000000007,82.00000000000078,2318.0
0.20900000000000002,-14773.400000000003,110.00000000000061,2318.0
0.21000000000000002,-14906.400000000003,132.00000000000028,2320.4242424242425
0.211,-15042.599999999999,142.0,2326.4848484848485
0.212,-15179.599999999999,135.0,2331.279187817259
0.213,-15401.8,127.0,2334.3248730964465
0.214,-15645.3,121.0,2336.4545454545455
0.215,-15939.600000000002,103.0,2337.4646464646466
0.216,-16246.600000000006,77.0,2342.771573604061
0.217,-16511.200000000004,48.0,2352.92385786802
0.218,-16765.200000000004,22.0,2373.5
0.219,-16875.600000000002,1.0,2404.5
0.22,-16950.100000000002,-16.0,2431.1111111111113
0.221,-16888.999999999996,-30.0,2453.3333333333335
0.222,-16793.999999999996,-38.0,2470.8629441624366
0.223,-16744.6,-40.0,2484.060913705584
0.224,-16706.6,-47.0,2502.2222222222226
0.225,-16855.800000000003,-63.0,2524.4444444444443
0.226,-17051.800000000003,-84.0,2537.472081218274
0.227,-17324.600000000006,-106.0,2543.56345177665
0.228,-17616.600000000006,-121.0,2546.6
0.229,-17794.600000000002,-126.0,2547.6
0.23,-17944.100000000002,-139.0,2548.0
0.231,-17979.6,-152.0,2548.0
0.232,-17986.6,-152.0,2541.7055837563453
0.233,-18002.0,-143.0,2531.5532994923856
0.234,-18019.5,-132.0,2511.585858585858
0.23500000000000001,-18064.600000000002,-118.99999999999959,2486.333333333333
0.23600000000000002,-18116.600000000002,-103.99999999999974,2461.675126903553
0.23700000000000002,-18099.8,-95.00000000000023,2437.3096446700506
0.23800000000000002,-18065.8,-102.99999999999933,2413.9
0.23900000000000002,-17913.399999999994,-78.99999999999734,2390.9
0.24000000000000002,-17731.399999999994,17.000000000002554,2371.9797979797977
0.24100000000000002,-17528.999999999996,109.0000000000002,2354.8080808080804
0.242,-17321.5,116.0,2332.456852791878
0.243,-17250.8,57.0,2308.0913705583757
0.244,-17214.3,24.0,2286.848484848485
0.245,-17335.399999999998,42.0,2266.6464646464647
0.246,-17495.899999999998,66.0,2257.3096446700506
0.247,-17679.600000000002,97.0,2251.218274111675
0.248,-17869.100000000002,139.0,2252.5263157894738
0.249,-17997.4,149.0,2255.684210526316
0.25,-18110.4,126.0,2248.727272727273
0.251,-18185.4,99.0,2240.6464646464647
0.252,-18250.9,53.0,2241.8680203045683
0.253,-18247.6,-13.0,2243.8984771573605
0.254,-18227.1,-62.0,2240.161616161616
0.255,-18080.999999999996,-92.0,2236.121212121212
0.256,-17903.499999999996,-119.0,2223.197969543147
0.257,-17707.599999999995,-127.0,2210.0
0.258,-17507.099999999995,-65.0,2219.0
0.259,-17432.2,63.0,2228.0
0.26,-17388.7,195.0,2243.151515151515
0.261,-17388.0,331.0,2258.548223350253
0.262,-17398.0,452.0,2285.9593908629445
0.263,-17317.6,484.0,2313.010101010102
0.264,-17214.6,441.0,2333.212121212122
0.265,-17140.8,397.0,2353.137055837564
0.266,-17074.3,353.0,2369.380710659899
0.267,-17205.000000000004,277.0,2386.300000000001
0.268,-17385.000000000004,189.0,2409.300000000001
0.269,-17655.400000000005,97.0,2431.9191919191926
0.27,-17948.400000000005,-12.0,2451.1111111111118
0.271,-18126.200000000004,-115.0,2468.0
0.272,-18275.200000000004,-183.0,2468.0
0.273,-18303.8,-227.0,2470.7272727272725
0.274,-18302.3,-237.0,2488.9090909090914
0.275,-18274.399999999998,-178.0,2507.2791878172598
0.276,-18239.899999999998,-65.0,2526.5685279187824
0.277,-18183.0,57.0,2546.2000000000007
0.278,-18120.5,154.0,2567.2000000000007
0.279,-18001.999999999996,191.0,2590.868686868688
0.28,-17869.499999999996,136.0,2625.212121212123
0.281,-17700.199999999997,2.0,2658.923857868022
0.28200000000000003,-17521.699999999997,-189.0000000000117,2690.3959390862956
0.28300000000000003,-17392.799999999996,-400.00000000000983,2718.545454545455
0.28400000000000003,-17276.299999999996,-577.0000000000064,2736.727272727273
0.28500000000000003,-17323.800000000003,-692.0000000000022,2751.0964467005074
