Time,ECG,PCG,ACC
0.0025,8955.1,-190.0,-644.0
0.0035,8963.4,-177.0,-635.9191919191919
0.0045000000000000005,8951.9,-20.499999999999858,-627.7969543147208
0.0055,8939.8,255.4999999999999,-617.6446700507614
0.006500000000000001,8926.8,407.5,-607.8484848484849
0.0075,8918.4,464.0,-604.8181818181819
0.0085,8916.9,511.0,-601.2893401015228
0.0095,8906.8,494.0,-591.1370558375635
0.0105,8883.8,447.0,-580.3
0.011500000000000002,8853.4,439.0,-563.3
0.0125,8811.9,436.5,-544.6666666666666
0.0135,8775.0,399.0,-511.3333333333333
0.0145,8745.0,341.99999999999994,-477.492385786802
0.015500000000000002,8709.6,296.99999999999994,-439.92893401015226
0.0165,8666.1,252.0,-400.7272727272727
0.017499999999999998,8606.2,189.0000000000001,-352.2424242424243
0.0185,8521.7,148.0,-305.9593908629442
0.0195,8444.2,105.5,-270.4263959390863
0.0205,8377.2,30.5,-238.60000000000002
0.0215,8349.2,13.499999999999918,-221.60000000000005
0.0225,8379.7,70.5,-205.5757575757576
0.0235,8448.0,98.0,-193.45454545454544
0.024499999999999997,8573.0,102.49999999999993,-179.0862944162437
0.0255,8707.8,147.4999999999999,-156.75126903553303
0.0265,8857.3,187.0,-136.46464646464648
0.0275,8990.6,192.5,-122.32323232323233
0.0285,9099.6,217.0,-111.17766497461929
0.0295,9179.8,226.00000000000006,-108.13197969543147
0.0305,9216.8,157.0,-102.09999999999998
0.0315,9226.4,74.5,-89.09999999999998
0.0325,9194.9,44.0,-75.75757575757574
0.0335,9155.8,11.5,-61.616161616161605
0.0345,9105.3,-58.0,-48.426395939086284
0.035500000000000004,9069.0,-98.50000000000001,-37.25888324873094
0.036500000000000005,9054.0,-96.49999999999996,-33.18181818181821
0.037500000000000006,9044.8,-94.50000000000001,-42.272727272727295
0.038500000000000006,9044.3,-87.99999999999989,-51.3807106598985
0.0395,9013.800000000001,-62.0,-60.5177664974619
0.0405,8938.300000000001,-26.5,-71.19999999999999
0.0415,8823.800000000001,-32.0,-84.20000000000002
0.0425,8650.8,-85.50000000000021,-107.3535353535355
0.043500000000000004,8483.0,-105.99999999999986,-145.73737373737387
0.044500000000000005,8323.0,-94.99999999999999,-183.35025380710678
0.045500000000000006,8217.0,-99.00000000000007,-219.8984771573608
0.0465,8192.0,-89.0,-254.0909090909092
0.0475,8219.199999999999,-53.0,-285.4040404040404
0.0485,8324.699999999999,-22.5,-318.70050761421317
0.0495,8441.0,-43.5,-354.23350253807104
0.0505,8573.5,-111.50000000000026,-387.00000000000006
0.051500000000000004,8682.0,-154.50000000000009,-417.00000000000017
0.052500000000000005,8754.5,-160.0,-452.2020202020205
0.053500000000000006,8800.6,-165.00000000000006,-492.60606060606085
0.05450000000000001,8807.1,-166.49999999999994,-539.9796954314725
0.0555,8803.8,-157.5,-593.7868020304569
0.0565,8785.8,-137.5,-639.1111111111112
0.0575,8766.8,-83.5,-677.4949494949495
0.0585,8746.3,-16.499999999999808,-717.1472081218275
0.059500000000000004,8727.6,35.50000000000034,-757.756345177665
0.060500000000000005,8711.6,96.00000000000051,-792.9473684210528
0.061500000000000006,8708.8,133.0,-824.526315789474
0.0625,8725.8,125.5,-846.0202020202021
0.0635,8757.2,121.5,-863.1919191919192
0.0645,8810.2,92.0,-880.4263959390863
0.0655,8855.800000000001,11.5,-897.6852791878173
0.0665,8890.300000000001,-39.0,-906.5454545454545
0.0675,8902.199999999999,-49.0,-912.6060606060606
0.0685,8880.199999999999,-97.0,-924.1624365482235
0.0695,8842.8,-157.0,-937.3604060913707
0.07050000000000001,8782.3,-169.99999999999994,-949.6000000000001
0.07150000000000001,8710.199999999999,-187.00000000000063,-961.6000000000001
0.07250000000000001,8620.699999999999,-207.49999999999997,-953.4949494949494
0.07350000000000001,8525.599999999999,-156.99999999999864,-940.3636363636364
0.07450000000000001,8422.099999999999,-83.99999999999933,-935.5025380710659
0.0755,8343.6,-59.0,-932.4568527918782
0.0765,8302.6,-54.0,-913.1111111111112
0.0775,8297.6,-70.0,-890.8888888888887
0.0785,8346.6,-113.5,-872.1015228426394
0.0795,8391.2,-139.0,-853.8274111675125
0.0805,8429.2,-137.0,-829.4999999999998
0.0815,8443.0,-126.0,-804.4999999999998
0.0825,8420.5,-108.0,-772.9090909090907
0.0835,8413.0,-92.5,-740.5858585858584
0.0845,8428.0,-87.5,-704.3756345177663
0.0855,8469.0,-82.49999999999994,-667.8274111675125
0.08650000000000001,8549.0,-66.99999999999969,-641.0505050505049
0.08750000000000001,8599.8,-36.999999999999474,-614.7878787878785
0.08850000000000001,8606.8,8.500000000000739,-599.2284263959389
0.08950000000000001,8562.399999999998,59.00000000000067,-583.9999999999999
