Time,ECG,PCG,ACC
0.0023,-20777.95,771.6,-4062.0
0.0033,-20824.45,864.7,-3960.989898989899
0.0043,-20872.9,779.9000000000001,-3859.6446700507613
0.0053,-20925.9,393.40000000000003,-3741.8781725888325
0.0063,-20952.95,202.7,-3624.7979797979797
0.0073,-20919.45,355.3,-3520.757575757576
0.0083,-20827.9,311.19999999999993,-3416.964467005076
0.0093,-20600.9,190.2,-3316.456852791878
0.0103,-20376.15,209.7,-3216.7
0.011300000000000001,-20156.65,141.4999999999999,-3123.7
0.0123,-20029.25,119.50000000000003,-3032.8282828282827
0.0133,-20116.75,180.00000000000003,-2961.1111111111113
0.0143,-20264.25,89.99999999999999,-2888.497461928934
0.015300000000000001,-20551.75,56.400000000000134,-2809.3096446700506
0.016300000000000002,-20796.8,113.89999999999995,-2731.090909090909
0.0173,-20942.8,89.5,-2658.3636363636365
0.0183,-21031.35,71.0999999999999,-2585.746192893401
0.0193,-20985.85,-10.30000000000014,-2513.6649746192893
0.020300000000000002,-20918.9,-68.69999999999995,-2445.6
0.0213,-20801.9,-62.49999999999992,-2393.6
0.0223,-20664.65,-100.59999999999994,-2344.5252525252527
0.0233,-20480.15,-31.599999999999838,-2307.151515151515
0.0243,-20306.0,17.70000000000023,-2270.4060913705584
0.0253,-20156.0,-73.79999999999995,-2235.8883248730963
0.0263,-20073.5,-114.70000000000005,-2203.939393939394
0.0273,-20148.5,-158.7000000000001,-2179.6969696969695
0.028300000000000002,-20250.95,-237.1000000000001,-2157.0659898477156
0.0293,-20417.45,-283.5,-2138.791878172589
0.0303,-20518.4,-208.69999999999973,-2123.3
0.0313,-20466.4,-83.70000000000005,-2114.3
0.032299999999999995,-20351.4,-118.99999999999972,-2109.212121212121
0.033299999999999996,-20089.4,-155.2,-2113.252525252525
0.0343,-19820.2,-204.19999999999914,-2122.497461928934
0.0353,-19534.2,-311.1,-2142.8020304568527
0.0363,-19244.149999999998,-272.6999999999998,-2164.838383838384
0.0373,-18944.65,-168.49999999999991,-2190.090909090909
0.0383,-18644.55,-91.49999999999986,-2218.771573604061
0.0393,-18343.05,0.300000000000086,-2253.289340101523
0.0403,-18090.75,40.29999999999999,-2294.631578947369
